,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Start Your Run Shoes,Women's Running,4 colors,/us/start-your-run-shoes/GY9233.html,$65,$33,"You'll want these adidas running shoes the next time you step out on your route. Classic lines and understated colors combine in a style every athlete can appreciate. These trainers are designed around the way women move, featuring heels that support each touchdown and LIGHTMOTION cushioning for elevated response on the road or track. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Dash Grey / Matte Silver / Core Black,5,4.8
1,NMD_R1 Shoes,Youth Originals,,/us/nmd_r1-shoes/H03994.html,$130,$91,"One shoe to rule them all. School, work or kicking it on the weekends, these juniors' NMD_R1 Shoes keep your look polished thanks to the sleek, triple black design. Merging everyday style with top-tier adidas technology, these running-inspired sneakers keep you comfortably on the move with energy-returning Boost cushioning beneath your feet.",,,131,4.6
2,Edge Lux Shoes,Women's Training,5 colors,/us/edge-lux-shoes/GZ6741.html,$90,$45,"Comfort is key, whether you're racing to catch a train or rolling up some miles on the weekend. These adidas running shoes have a Bounce midsole that's light and flexible to keep you moving. A padded Geofit collar locks you in, so don't be afraid to stride it out.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Core Black / Core Black / Iron Metallic,191,4.0
3,Adilette Comfort Slides,Sportswear,19 colors,/us/adilette-comfort-slides/GW9647.html,$40,$24,"Classics for a reason. These adidas slides are the perfect combination of versatility and comfort. They fit snugly and slip off easily for convenience as you move from the pool deck to the locker room to the couch. With an iconic look and casual style, they pair just as easily with track pants and socks as they do with swimming trunks and bare feet, keeping you ready for any occasion.",, Core Black / Core White / Grey Six,9735,4.7
4,Fluidflow 2.0 Shoes,Men's Sportswear,3 colors,https://www.adidas.com/us/fluidflow-2.0-shoes/GW4012.html,$85,$51,It doesn't really matter whether or not a run is in the cards for the day. An ultra-breathable feel and cushy midsole that energizes give these adidas shoes an edge. Hit the pavement or hit the town. You've got the kicks for whatever unfolds.,, Legend Ink / Cloud White / Shadow Maroon,866,4.6
5,Adilette Comfort Adjustable Slides,Men's Essentials,2 colors,https://www.adidas.com/us/adilette-comfort-adjustable-slides/EG1344.html,$40,$24,You know that feeling. When you slip off your shoes after a long workout and feel that sweet relief. Keep it going in these lightweight adidas Adilette slides. Soft cushioning rewards hard-working feet.,, Core Black / Cloud White / Grey Six,1228,4.7
6,Lite Racer Adapt 5.0 Shoes,Men's Essentials,7 colors,https://www.adidas.com/us/lite-racer-adapt-5.0-shoes/GX4675.html,$70,$35,"Streamlined, sporty and super stylish, thanks to the big adidas graphics peeking out from under the laces. These slip-on running-inspired shoes are made for a lightweight feel, from the lightweight textile upper to the pillow-soft Cloudfoam midsole. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Cloud White / Core Black / Cloud White,96,4.7
7,Adilette Comfort Slides,Women's Sportswear,18 colors,https://www.adidas.com/us/adilette-comfort-slides/GZ6412.html,$40,$20,"From yoga on the beach directly to brunch? We've got you covered. You'll move with easy freedom all summer in these comfortable slip-ons. These adidas slides feature a playful floral print, giving you a kick of extra energy and style wherever you go.",, Signal Orange / Signal Orange / Vivid Berry,4941,4.8
8,Superstar Shoes,Women's Originals,15 colors,/us/superstar-shoes/FV3284.html,$95,$62,"The adidas Superstar Shoes first stepped onto the basketball hardwood in 1970. It didn't take long for them to make the leap from athletic gear to streetwear staple. These shoes show off the materials, proportions and style that made the original such a legend. They've got a smooth leather upper with sporty 3-Stripes and a heel tab. They're finished off with the world-famous rubber shell toe.",, Cloud White / Ice Mint / Cloud White,10524,4.7
9,,,,/us/vulc-raid3r-shoes/GW9181.html,,,"These adidas sneakers are tasteful and minimal, so they'll get you out the door, whether you're going for a weekend stroll or directly to your desk. The canvas upper feels light and comfy, while the little details, like the outline-stitched 3-Stripes, look as good with skirts as with cropped joggers. 

Made in part with recycled content generated from production waste, e.g.,. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",, Magic Mauve / Magic Mauve / Matt Purple Met.,168,4.5
