,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Duramo 10 Wide Shoes,Men's Running,3 colors,/us/duramo-10-wide-shoes/GY3855.html,$70,$42,"Whether you're headed out for a morning run or meeting up with friends for an evening out, keep your feet comfortable and your style on point in these adidas wide-fit shoes. A mesh upper helps you stay cool, while superlight cushioning cradles every step you take.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Grey Four / Vivid Red / Iron Metallic,65,4.4
1,Forum Low Shoes,Infant & Toddler Originals,,/us/forum-low-shoes/GZ1674.html,$70,$42,"They're at the age when everything is fascinating. So they'll delight in the iridescent details of these toddlers' adidas Forum shoes. The iconic silhouette gets a fun update in muted rainbow colors along the underlay. Elastic laces with a hook-and-loop strap makes them easy to get on and off wiggly feet.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,1,3.0
2,Nizza Platform Mid Shoes,Women's Originals,4 colors,/us/nizza-platform-mid-shoes/GY9531.html,$95,$48,"Basketball shoes in the 1970s broke through to inspire style for everyday wear. Decades later, that look is still going strong in sneakers that take you from the morning routine to your evening out. With a vulcanized platform outsole and mid-ankle profile, this pair from adidas simplifies the silhouette to match up with almost any outfit. Thick laces and 3-Stripes along the sides keep the vibe classic, and clean-looking canvas is durable for daily life. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Almost Blue / Pantone / Wonder White,718,4.8
3,Swift Run Shoes,Women's Originals,2 colors,/us/swift-run-shoes/FW5030.html,$90,$63,"An everyday go-to with subtle sport styling, the Swift Run is made for the daily grind. It draws on heritage adidas running styles and gives them a new spin. These shoes feature a stretchy, sock-like knit upper for a close fit and supportive comfort. Floating 3-Stripes and embroidered lines on the forefoot make a subtle style statement.",, Raw White / Core Black / Carbon,1365,4.5
4,adidas x Disney Suru365 Miss Piggy Muppets Slip-On Shoes,Infant & Toddler Sportswear,,/us/adidas-x-disney-suru365-miss-piggy-muppets-slip-on-shoes/GY9100.html,$50,$35,"Statement shoes for little superstars. From the bows on the straps to the hot-pink color, these infants' adidas sneakers are inspired by Disney's Miss Piggy and flash an embroidered piggy graphic on the side. They slide on and off easily and have a robust, comfy outsole to match the energy of even the most spirited toddlers. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,11,4.2
5,Superstar 360 2.0 Boots,Children Originals,new,https://www.adidas.com/us/superstar-360-2.0-boots/GX9073.html,$65,,"Inspired by the adidas Superstar sneaker, these ready-for-anything boots take cues from that shoe's best design details, right down to the iconic shell toe. A cozy insulated PrimaLoft® upper keeps kids' feet nice and warm, and rugged traction grips slippery surfaces for safe play. Speed laces mean kids can secure their own boots, even with gloves on. The EVA midsole and OrthoLite® sockliner deliver comfort.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,7,5.0
6,NMD_R1 Shoes,Men's Originals,28 colors,https://www.adidas.com/us/nmd_r1-shoes/GX9531.html,$150,$90,"Running style made for everyday exploration. These adidas NMD_R1 Shoes update the original '80s-inspired trainer with a reflective RPU cage. A stretchy knit upper hugs your foot for comfort on the go. Long commutes and slick city sidewalks are no problem, thanks to energy-returning BOOST midsole cushioning and the grippy rubber outsole beneath your feet.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",, Core Black / Core Black / Core Black,2557,4.6
7,Superstar Shoes,Infant & Toddler Originals,,https://www.adidas.com/us/superstar-shoes/EF4842.html,$55,$39,Pro players swore by them. Hip hop legends wrote songs about them. And everybody still loves them. These toddlers' adidas Superstar Shoes show off the same classic lines as the first pairs in the '70s. Strap closures take the place of laces for easy on and off.,,,373,4.9
8,,,,/us/ozelle-shoes/GW1560.html,,,"Kids learn from falling down and getting back up. These adidas trainers have the good looks to become their go-tos, but they're also built to withstand a lot of play. The chunky, durable EVA outsole and Cloudfoam cushioning make every step feel soft and springy. Elastic laces stretch so they slip on easily, and hook-and-loop straps can be adjusted for a comfy fit. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Aluminium / Wonder White / Grey One,10,4.9
9,,,,/us/puremotion-shoes/GY2279.html,,,"Elevate a casual look, quite literally, with these adidas shoes. Slightly pumped-up outsoles add a little height while the soft textile upper gives them a textured look that pairs well with jeans, skirts or sporty shorts. Cloudfoam cushioning keeps your feet comfortable when you're on the move.",, Cloud White / Semi Turbo / Pulse Amber,1243,4.6
