,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,FortaRun Shoes,Children Sportswear,2 colors,/us/fortarun-shoes/GV9473.html,$58,"For children who aren't tying bunny ears just yet, these kids' adidas running shoes have elastic laces that make them easy to pull on and off. A top strap ensures a snug, secure fit. On the outside, colorful details on the textile upper mean they're easy to spot on the playground. Inside, the soft Cloudfoam midsole supports all their jumps, leaps and skips. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic laces with hook-and-loop top strap; Textile upper; Textile lining; OrthoLite® sockliner; Cloudfoam midsole; Non-marking rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Green Oxide; Product code: GV9473, Core Black / Cloud White / Green Oxide,39,4.7,
1,Nizza RF Shoes,Originals,2 colors,/us/nizza-rf-shoes/EF1883.html,$75,"Inspired by '80s B-ball high tops, these canvas streetwear shoes have an easygoing vibe. A versatile low-cut shape shows off a rubber toe cap and 3-Stripes. A clean-lined sole keeps the look fresh.",Regular fit; Lace closure; Canvas upper; Rubber outsole; Textile lining; Imported; Product color: Cloud White / Cloud White / Off White; Product code: EF1883, Core Black / Cloud White / Off White,173,4.4,$64
2,Ultraboost 22 Shoes,Running,26 colors,/us/ultraboost-22-shoes/GX6300.html,$190,"These Ultraboost running shoes serve up comfort and responsiveness. You'll be riding on a BOOST midsole for endless energy, with a Linear Energy Push system and a Continental™ Rubber outsole. This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; Soft heel fit; Linear Energy Push system; BOOST midsole; Weight: 11.7 ounces (size 9); Stretchweb outsole with Continental™ Better Rubber; Yarn in upper contains at least 50% Parley Ocean Plastic  and 50% recycled polyester; Imported; Product color: Core Black / Core Black / Almost Lime; Product code: GX6300, Cloud White / Cloud White / Vivid Red,2496,4.7,
3,Adifom SLTN Shoes,Youth Originals,4 colors,/us/adifom-sltn-shoes/FZ5636.html,$80,"Archival adidas style gets a modern update. Inspired by the original silhouette from 1998, this juniors' take on the Adifom shoes pumps up the comfort with a textile and foam lining. Recycled materials bring the shoe into the present day and beyond.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; Textile and foam lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Grey Four / Grey Five / Carbon; Product code: FZ5636, Core Black / Core Black / Cloud White,3,5.0,
4,4DFWD Pulse 2 Shoes,Men's Running,5 colors,/us/4dfwd-pulse-2-shoes/GX9282.html,$160,"Run smooth with these adidas shoes, created using state-of-the-art 3D printing technology, with incredible smoothness, guiding your strides for a more fluid run. The 4DFWD heel is angled to increase impact absorption. Working together with the EVA midsole, this unique design translates into a smooth heel transition at the moment of touchdown while the 3 layered upper is engineered for seamless stretchable support for lateral and linear movements. AEROREADY manages moisture to keep feet feeling dry and comfortable. A rubber outsole provides superb traction for a confident stride. Made in part with recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Engineered mesh upper; Textile lining; 3D-printed 4DFWD midsole; Midsole angled for a smooth run; Weight: 334 g (size UK 8.5); Midsole drop: 11 mm (heel: 23 mm / forefoot: 12 mm); Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Carbon; Product code: GX9282, Core Black / Solar Orange / Beam Orange,18,4.8,$144
5,S2G BOA Wide Spikeless Golf Shoes,Men's Golf,2 colors,https://www.adidas.com/us/s2g-boa-wide-spikeless-golf-shoes/GV9789.html,$110,"Bring confidence to your game in these adidas golf shoes designed for versatile performance. The Bounce midsole cushioning offers comfort and flexibility through 18 holes and beyond. The V-Traxion outsole delivers solid grip for enhanced stability on variable terrain. The waterproof upper keeps your feet dry on damp fairways, and the BOA® Fit System lets you dial in a precise fit. The spikeless design ensures an easy transition from course to clubhouse. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Wide fit; Micro-adjustable dial-based BOA® Fit System; Waterproof upper; Slow resilient sockliner; Bounce midsole; Adiwear outsole with V-Traxion; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Grey Six; Product code: GV9789, Grey Two / Cloud White / Grey Three,157,4.6,
6,Superstar Shoes,Children Originals,4 colors,https://www.adidas.com/us/superstar-shoes/FU7715.html,$55,"From the basketball court to the classroom. Everyone deserves a pair of adidas Superstars Shoes. This kids' version celebrates 50 years of the classic shell-toe design. From the distinctive serrated 3-Stripes to the comfortable rubber cupsole, this anniversary edition honors an icon. Whether they sport all white, all black or something in between, these shoes keep little ones looking fresh.",Lace closure; Leather upper; Iconic leather sneakers for daily wear; Molded sockliner; Adifit length-measuring insole; Imported; Product color: Core Black / Core Black / Core Black; Product code: FU7715, Core Black / Cloud White / Core Black,440,4.8,$44
7,Superstar Shoes,Women's Originals,14 colors,https://www.adidas.com/us/superstar-shoes/HP2357.html,$100,"Debuted on the hardwood. Made famous in hip hop. Worn in every corner of the globe. The adidas Superstar shoes have truly earned the term ""iconic."" This modern pair has all the essential details, from the serrated 3-Stripes to that legendary rubber shell toe. Modern colors and a lace jewel keep the classic style fresh. 

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Synthetic upper; Synthetic lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Collegiate Gold / Cloud White / Gold Metallic; Product code: HP2357, Cloud White / Ice Mint / Cloud White,10526,4.7,
8,,,,/us/adilette-boost-slides/GX4285.html,,"Transition from sandy beaches to busy streets in premium comfort all summer long. These slides feature a full-length, energy-returning midsole that cradles your foot with supreme cushioning. Classic 3-Stripes on the bandage-style upper show off your adidas style.",Regular fit; Slip-on construction; Synthetic upper; Slides with Boost cushioning; Responsive Boost midsole; Imported; Product color: Carbon / Core Black / Core Black; Product code: GX4285, Core Black / Cloud White / Core Black,2032,4.6,
9,,,,/us/adilette-slides/280647.html,,The Adilette debuted in 1970 as a shower slide for the German national football team during the world's biggest match in Mexico before being officially released back in '72. It's been a style mainstay of adidas ever since. These slides stay true to the original look with a contoured footbed and 3-Stripes across the bandage upper.,Regular fit; Slip-on design; PU-coated synthetic bandage upper; Quick-dry lining; Contoured footbed; Polyurethane outsole; Imported; Product color: Core Black / White / Core Black; Product code: 280647, Core Black / White / Core Black,5389,4.6,
