,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Stan Smith Shoes,Women's Originals,9 colors,/us/stan-smith-shoes/Q47224.html,$95,$81,"For 50 years, the adidas Stan Smith Shoes have been a staple on the courts and on the streets. Their minimalist style is the very definition of effortless cool. But even icons have to change to stay rooted in the present, which is why this version of the trainers is created with recycled materials. It's part of our effort and commitment to help end plastic waste. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",Lace closure; Synthetic upper; Rubber outsole; Vegan; Imported; Product color: Cloud White / Collegiate Navy / Cloud White; Product code: Q47224, Supplier Colour / Cloud White / Gold Metallic,2492,4.6
1,ZNTASY Capsule Collection Shoes,Men's Sportswear,2 colors,/us/zntasy-capsule-collection-shoes/GZ2298.html,$100,,"Whether your priority is fashion or function, everyone can agree on these adidas sneakers. Behind the stylishly muted colors, the shoes are packed with speed-boosting technology. The Lightstrike cushioning helps propel you forward, while the rubber cupsole is firm yet flexible. Style, meet speed. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; Lightstrike cushioning; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Gum; Product code: GZ2298, Cloud White / Cloud White / Bright Red,27,4.5
2,Duramo 10 Shoes,Men's Running,9 colors,/us/duramo-10-shoes/GW8336.html,$70,$56,"From a morning gym session to a day of errands to an evening with friends, keep your feet comfortable and your style on point in these adidas shoes. Pair them with your favorite running shorts for the ultimate athletic-casual vibe. A mesh upper helps you stay cool, while superlight cushioning cradles every step you take.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Sandwich mesh upper; Supportive no-sew overlays; Soft heel; LIGHTMOTION cushioning; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Core Black; Product code: GW8336, Core Black / Pulse Blue / Impact Orange,698,4.6
3,ZNTASY Capsule Collection Shoes,Men's Sportswear,2 colors,/us/zntasy-capsule-collection-shoes/GZ2312.html,$100,,"A new player on adidas' shoe roster. These combine the running spirit of sneakers with the smooth lines and semi-translucent detailing of high-fashion sneakers. With LIGHTMOTION cushioning that makes every step feel light and springy, they ensure you can go easily from walking to working out and from jeans to joggers. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; LIGHTMOTION cushioning; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Cloud White; Product code: GZ2312, Cloud White / Cloud White / Bright Red,27,4.5
4,T-Mac 3 Restomod Basketball Shoes,Basketball,2 colors,https://www.adidas.com/us/t-mac-3-restomod-basketball-shoes/GY2395.html,$140,$119,"The game has seen few scorers as dynamic as Tracy McGrady. These shoes from adidas Basketball and T-Mac modernize his signature sneaker with a lightweight Bounce midsole. The synthetic upper is finished with all the elements that made the old school T-Mac sneaker the best of the best.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Synthetic upper; Bounce midsole; Textile lining; Rubber outsole; Imported; Product color: Core Black / Cloud White / Bold Blue; Product code: GY2395, Core Black / Team College Purple / Team Collegiate Red,27,4.6
5,OZNOVA Shoes,Women's Originals,5 colors,https://www.adidas.com/us/oznova-shoes/GX7204.html,$130,,"Outrageously comfortable. Unapologetically bold. The adidas OZNOVA Shoes just don't hold back in any way. They turn up the volume on comfort with Adiplus cushioning so soft it feels like clouds under your feet. They step away from the expected with exaggerated proportions and fluid lines. You can wear them with any outfit, anywhere you go.",Textile upper; Textile lining; Adiplus cushioning; EVA midsole inserts; Rubber outsole; Imported; Product color: Grey Two / Crystal White / Aluminium; Product code: GX7204, Cloud White / Ecru Tint / Wonder White,13,4.5
6,Five Ten SLEUTH bike shoe,Men's Five Ten,2 colors,https://www.adidas.com/us/five-ten-sleuth-bike-shoe/EE8893.html,$90,$77,"Riders need shoes they can count on. Enter Five Ten's SLEUTH bike shoe. The EVA midsole means all day comfort on the bike and off of it. And thanks to the Stealth Rubber outsole and the Classic Dotty Tread, if you're riding style calls for next level pedal traction, the SLEUTH bike shoe will keep your feet locked on, right where they need to be.",Regular fit; Lace closure; Leather and canvas upper; EVA midsole; Non-marking Stealth® Marathon rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Gum M2; Product code: EE8893, Core Black / Core Black / Gum M2,162,4.5
7,FortaRun Shoes,Children Sportswear,2 colors,https://www.adidas.com/us/fortarun-shoes/GV9466.html,$62,$50,"Children clock up the miles, whether they're running, practicing sports or just playing for hours. That's why these kids' adidas sneakers are designed to withstand a lot of scuffs and scrapes. Inside, the Cloudfoam cushioning and pillowy sockliner wrap feet in softness. Outside, the non-marking rubber outsole leaves no trace when the fun comes indoors.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Textile upper; Textile lining; Cloudfoam midsole; OrthoLite® sockliner; Non-marking rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Green Oxide; Product code: GV9466, Core Black / Cloud White / Green Oxide,38,4.8
8,,,,/us/vulc-raid3r-skateboarding-shoes/GY5496.html,,,"Relive the days of kickflips and ollies. These adidas skateboarding-inspired sneakers pull from the best of skate culture to keep things chill, regardless of what you're doing. Wear an icon suited for all occasions.

Our cotton products support more sustainable cotton farming.",Regular fit; Lace closure; Eco-canvas upper; Light and breathable feel; Textile lining; Stitched 3-Stripes; Vulcanized rubber outsole; Supports the Better Cotton Initiative; Imported; Product color: Core Black / Core Black / Cloud White; Product code: GY5496, Focus Olive / Focus Olive / Cloud White,4,3.3
9,,,,/us/advantage-court-shoes/GY7044.html,,,"Bring some throwback vibes to your daily look with these adidas shoes. The synthetic leather upper is durable, yet soft for a comfortably snug fit. Perforated 3-Stripes and a rubber outsole complete the iconic, tennis-inspired look.

Made with a series of recycled materials, the upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; Cloudfoam Comfort sockliner; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Core Black; Product code: GY7044, Cloud White / Cloud White / Core Black,6,5.0
10,,,,/us/ultraboost-5.0-dna-shoes/GV8733.html,,,"Any time you're on your feet is a good time to wear these adidas Ultraboost shoes. Equipped with all the performance technology that runners love, they're updated with extra attention to detail – just look at the contrast stitching at the toe. Energy-returning BOOST in the midsole and a foot-hugging adidas PRIMEKNIT upper make sure of it.",Regular fit; Lace closure; adidas PRIMEKNIT upper; Fitcounter molded heel counter; BOOST midsole; Torsion System; Stretchweb outsole with Continental™ Rubber; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Shadow Green / Impact Orange / Core Black; Product code: GV8733, Core Black / Core Black / Beam Green,3852,4.7
11,,,,/us/forum-low-shoes/FY7755.html,,,"More than just a shoe, it's a statement. The adidas Forum hit the scene in '84 and gained major love on both the hardwood and in the music biz. This pair of the classic shoes brings back the '80s attitude, the explosive hardwood energy and the iconic removable strap ankle design, distilled into a low top version meant for the streets.",Lace closure with removeable strap; Leather upper; Rubber outsole; Imported; Product color: Cloud White / Cloud White / Cloud White; Product code: FY7755, Cloud White / Cloud White / Cloud White,707,4.8
12,,,,/us/ozelle-shoes/GY7112.html,,,"Kids learn from falling down and getting back up. These adidas trainers have the good looks to become their go-tos, but they're also built to withstand a lot of play. The chunky, durable EVA outsole and Cloudfoam cushioning make every step feel soft and springy. Elastic laces stretch so they slip on easily, and hook-and-loop straps can be adjusted for a comfy fit. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic laces with hook-and-loop top strap; Mesh upper with synthetic nubuck overlays; Cloudfoam sockliner; Textile lining; EVA outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Focus Olive / Impact Orange / Linen Green; Product code: GY7112, Aluminium / Wonder White / Grey One,12,4.8
13,,,,/us/fluidflow-2.0-shoes/GX8286.html,,,It doesn't really matter whether or not a run is in the cards for the day. An ultra-breathable feel and cushy midsole that energizes give these adidas running shoes an edge. Hit the pavement or hit the town. You've got the kicks for whatever unfolds.,Lace closure; Knit textile upper; Breathable feel; Textile lining; Bounce midsole; Synthetic outsole; Imported; Product color: Core Black / Magic Grey Met / Carbon; Product code: GX8286, Cloud White / Almost Pink / Bliss Orange,411,4.6
14,,,,/us/lite-racer-adapt-5.0-shoes/GX6774.html,,,"These adidas shoes are the quickest way to step outside without losing style points. With their unexpected color combinations and sporty webbed laces, they instantly add flash to simple outfits. The Cloudfoam cushioning feels superlight and comfy, whether you style them up with denim or slip them on with swim shorts. 
 
Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Pull-on construction; Textile upper; Lightweight feel; Cloudfoam sockliner; Textile lining; Synthetic outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Team Victory Red / Core Black / Cloud White; Product code: GX6774, Cloud White / Core Black / Cloud White,100,4.7
15,,,,/us/retropy-f90-shoes/HP8031.html,,,"Whether you're running around town or taking it easy, these adidas shoes are ready to carry you through the day. Taking inspiration from the famed Racing 1 as a design base, they feature a modernized shape that still honors its roots. Nubuck, suede and recycled mesh lend a vintage feel to the upper. The bright colors ensure that you'll make a statement with any outfit. The EVA midsole provides a comfortable feeling for everyday activities.","Lace closure; Nubuck, suede and mesh upper; Textile lining; Torsion bar; EVA midsole; Rubber outsole; Imported; Product color: Focus Olive / Grey One / Shadow Olive; Product code: HP8031", Off White / Aluminium / Sonic Fuchsia,5,3.8
16,,,,/us/trx-vintage-shoes/GX4581.html,,,Throw it back to early adidas running style with the TRX Vintage shoes. The textile upper with suede overlays bring quintessential heritage adidas vibes. An EVA midsole ups the comfort level.,Lace closure; Textile upper with stitched suede overlays; Textile lining; EVA midsole; Rubber outsole; Imported; Product color: Magic Lime / White Tint / Linen Green; Product code: GX4581, Wonder Steel / Crystal White / Legend Ink,542,4.9
