,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Nizza Hi Parley Shoes,Men's Originals,new,/us/nizza-hi-parley-shoes/GX6984.html,$120,"Clean, crisp style made with the oceans in mind. That's what you get when you lace up in these adidas x Parley shoes. Up top, the monochromatic design borrows from nature and from Japanese workwear. Underfoot, BOOST cushioning fuels your steps with energy. Scan the QR code to learn about where the recycled materials in these shoes came from.

Parley for the Oceans
Educate and act. Head to Parley for the Oceans website to find out more, sign up and get involved at adidas.com/parley. 

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; Textile upper; BOOST midsole drop-in; Textile lining; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Magic Mauve / Magic Mauve / Wonder Red; Product code: GX6984,,3,5.0,
1,D.O.N. Issue #4 Basketball Shoes,Youth Basketball,,/us/d.o.n.-issue-4-basketball-shoes/GW9003.html,$95,"The future of basketball is all about speed, and Donovan Mitchell is as fast as they come. These juniors' signature shoes from Mitchell and adidas Basketball are built specifically to elevate the on-court movements of one of the game's fastest, most dynamic scorers. Ultralight Lightstrike teams up with a LIGHTLOCK upper for a snug fit and a propulsion system that won't weigh you down. A totally unique rubber outsole is designed to generate traction where you need it most, so every hard-charging cut and head fake has total support. Mitchell's Spida logo and signature graphics provide the finishing touch.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","Regular fit; Lace closure; LIGHTLOCK upper; Lightweight, cushioned feel; Textile lining; Lightstrike cushioning; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Vivid Red / Core Black / Team Victory Red; Product code: GW9003",,,,
2,Hyperturf Shoes,Originals,8 colors,/us/hyperturf-shoes/GY4164.html,$140,"You don't need to travel far to find adventure. Just step outside your front door and get lost in the excitement of the city. On your feet, you'll want these adidas Hyperturf shoes. They're designed in the rugged style of outdoor footwear, with a durable upper mixing suede, nubuck and ripstop fabrics. Under your feet there's shock-absorbing Adiprene+ cushioning and FORMOTION to ensure comfort. Now it's time to wander.","Regular fit; Speed lacing closure; Ripstop, nubuck, suede and mesh upper; Textile lining; Adiprene+ cushioning; Rubber outsole; Imported; Product color: Linen Green / Grey Five / Magic Lime; Product code: GY4164", Grey Five / Grey One / Beam Orange,,,
3,CODECHAOS 22 BOA Spikeless Shoes,Men's Golf,3 colors,/us/codechaos-22-boa-spikeless-shoes/GX3937.html,$200,"Step onto the course, step up your style and turn up your game with the adidas CODECHAOS22 golf shoes. Every detail of these spikeless shoes is built with a job to do. From the wrap-around Twist Grip outsole to full-length BOOST, they bring swing-boosting traction and a grounded, energized feel to the course. The BOA® Fit System lets you fine-tune the fit with the turn of a dial. A waterproof and stain-resistant upper keeps feet dry and clean so your focus stays on the game. Tour-level performance has never looked this good.",Regular fit; Micro-adjustable dial-based fit system; INSITE® sockliner; BOOST midsole; Rubber wrapping spikeless outsole with Twist Grip; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Dark Silver Metallic / Impact Orange; Product code: GX3937, Grey Three / Impact Orange / Pulse Blue,52,4.6,
4,ZX 22 Shoes,Youth Originals,,/us/zx-22-shoes/GY6692.html,$90,"Clean, simple, comfortable. These juniors' adidas shoes transform a running-inspired icon into sleek, comfortable trainers you can wear on any occasion. Suede overlays add texture to the minimalist look.

Made in part with recycled content generated from production waste, e.g., cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Textile upper; EVA midsole; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Grey Four / Grey Six; Product code: GY6692,,16,4.9,$45
5,Grand Court Alpha Shoes,Women's Essentials,2 colors,https://www.adidas.com/us/grand-court-alpha-shoes/GY7060.html,$80,"Say olá to these joyful, FARM Rio-inspired sneakers. The classic Grand Court shape embraces their super-colorful print. They feature Cloudfoam cushioning to support your feet whether you're finding your rhythm or dreaming of a holiday. Keep the rest of your look minimalist, and let the 3-Stripes zing.",Regular fit; Lace closure; Leather upper; Cloudfoam sockliner; Rubber outsole; FARM Rio print; Imported; Product color: Vivid Berry / Signal Orange / Cloud White; Product code: GY7060,,204,4.7,
6,Five Ten Sleuth DLX Mountain Bike Shoes,Men's Five Ten,2 colors,https://www.adidas.com/us/five-ten-sleuth-dlx-mountain-bike-shoes/GY5127.html,$120,"Equal parts bike shoe and everyday sneaker, the Sleuth DLX is where Five Ten functionality meets the classic low-profile adidas silhouette. The non-marking Stealth® Phantom rubber outsole lets you move with confidence on and off the bike, while a modest flex offers all-day comfort for everything you do.","Regular fit; Lace closure; Suede upper; One-piece molded rubber cupsole; Non-marking, high-friction Stealth® Phantom rubber outsole; Dotty tread; Textile lining; Imported; Product color: Core Black / Carbon / Wonder White; Product code: GY5127", Grey Six / Core Black / Matte Gold,261,4.7,$72
7,Tiana Stan Smith Shoes,Infant & Toddler Originals,3 colors,https://www.adidas.com/us/tiana-stan-smith-shoes/GW4540.html,$60,"For over 50 years, the adidas Stan Smith sneaker has solidified its place as a style icon. Now this infants' version gets a magical update with these shoes inspired by Tiana, the princess from Disney's ""The Princess and the Frog."" Make a statement with cool green details set on a synthetic leather upper and a printed sockliner that adds a fun detail to classic comfort. The heel patches are a reminder that ""It's not easy being green,"" so it's important to do our best for the planet. A snug fit with an OrthoLite® sockliner ensures that comfort isn't sacrificed for style.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Hook-and-loop straps; Synthetic upper; OrthoLite® sockliner; Recycled rubber outsole made with 10% recycled material derived from production waste; ©Disney; Synthetic lining; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Pantone / Pantone; Product code: GW4540, Pantone / Cloud White / Core Black,,,
8,,,,/us/five-ten-freerider-eps-mountain-bike-shoes/FY9299.html,,"Keep the pedals turning through cold, damp winter days. The adidas Five Ten Freerider EPS Mountain Bike Shoes are a winter-ready version of our classic Freerider shoe. The addition of PrimaLoft® insulation and an insulated, heat-reflective footbed keep feet warm. A coated, weather-resistant leather upper with minimal seams seals out water for dry feet. Their Stealth® S1 Dotty rubber outsole grips wet, slippery ground and your pedals for full control on and off the bike.",Lace closure; Leather upper; PrimaLoft® insulation; Textile lining; Stealth® S1 Dotty rubber outsole; Imported; Product color: Core Black / Core Black / Cloud White; Product code: FY9299,,10,4.7,
9,,,,/us/retropy-e5-shoes/GY9579.html,,"No need to choose between vintage vibes and modern comfort. These adidas shoes have the best of both. The sleek style and cozy suede look just like running shoes from the '70s, while BOOST cushioning feels like the present. Wherever you go, you'll look endlessly fresh and feel undeniably comfortable. 

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Textile upper; Textile lining; BOOST midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Dash Grey / Cloud White / Semi Impact Orange; Product code: GY9579, Frost Pink / Almost Pink / Ecru Tint,47,4.8,
