,label,title,subtitle,num_colors,price,reduced_price,url,description,colors,n_reviews,avg_stars
0,Best Seller,Air Jordan 1 Mid,Shoes,2 Colors,$125,,https://www.nike.com/t/air-jordan-1-mid-shoes-M2KS6n/554724-079,"Inspired by the original AJ1, the Air Jordan 1 Mid offers fans a chance to follow in MJ's footsteps. Fresh color trims the clean, classic materials, imbuing modernity into a classic design.",Black/White/Fire Red; Black/Black/Black,2161.0,4.9
1,Best Seller,Nike Blazer Mid '77 Vintage,Women's Shoes,3 Colors,$105,,https://www.nike.com/t/blazer-mid-77-vintage-womens-shoes-25h71W/CZ1055-100,"Styled for the ‘70s. Loved in the ‘80s. Classic in the ‘90s. Ready for the future. The Nike Blazer Mid ’77 Vintage delivers a timeless design that’s easy to wear. Its unbelievably crisp leather upper breaks in beautifully and pairs with bold retro branding and luscious suede accents for a premium feel. Exposed foam on the tongue and a special midsole finish make it look like you’ve just pulled them from the history books. Go ahead, perfect your outfit.",White/White/Peach/White; White/Sail/Peach/Black; White/Peach/Summit White/Pink Oxford; Design your own Nike By You product,519.0,4.8
2,Coming Soon,Nike Dunk Low Retro,Men's Shoes,1 Color,$110,,https://www.nike.com/t/dunk-low-retro-mens-shoes-8t3K7k/DD1391-100,"Created for the hardwood but taken to the streets, the Nike Dunk Low Retro returns with crisp overlays and original team colors. This basketball icon channels '80s vibes with premium leather in the upper that looks good and breaks in even better. Modern footwear technology helps bring the comfort into the 21st century.",,,
3,Best Seller,Nike Air Force 1 '07,Men's Shoes,2 Colors,$110,,https://www.nike.com/t/air-force-1-07-mens-shoes-xDpsTk/CT2302-100,"The radiance lives on in the Nike Air Force 1 ’07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colors and the perfect amount of flash to make you shine.",Black/White; White/Black; Design your own Nike By You product,128.0,4.9
4,Best Seller,Air Jordan 12 Retro,Men's Shoes,1 Color,$200,,https://www.nike.com/t/air-jordan-12-retro-mens-shoes-kcMcpK/CT8013-015,"No need to call for a ride—MJ's game-winning look from '96 will get you where you need to go. This AJ12 is the return of Tinker Hatfield's celebrated design, the first to bring Zoom Air cushioning to Jordan's signature line. Premium materials give it a seasonal refresh, while the sunrise-inspired stitch lines on the upper hook back to the original. This is buzzer-beater style, perfected.",Shown: Stealth/Cool Grey/White,333.0,4.9
5,,Nike Dunk High Retro,Men's Shoe,2 Colors,$125,,https://www.nike.com/t/dunk-high-retro-mens-shoe-dTVTCk/DD1399-600,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with perfectly sheened overlays and original university colors. With its classic hoops design, the Nike Dunk High Retro channels '80s vintage back onto the streets while its padded, high-top collar adds an old-school look rooted in comfort.",Dark Beetroot/Wolf Grey/White/Dark Beetroot; Court Purple/University Gold/White/Court Purple,30.0,4.5
6,Best Seller,Nike Blazer Mid '77,Big Kids' Shoes,5 Colors,$85,,https://www.nike.com/t/blazer-mid-77-big-kids-shoes-4VfSTd/DA4086-100,"The Nike Blazer Mid '77 channels the old-school look of Nike basketball with a vintage midsole finish. Throwback style with modern materials means you can run, skip and jump in comfort.",White/Total Orange/Black; Black/White/Team Orange/Sail; White/Pink Glaze; Pure Platinum/Barely Grape/Thunder Blue/Metallic Silver; White/Yellow Ochre/Light Bone/Laser Blue; Summit White/Coconut Milk/Honeydew/Pink Foam; White/Pecan/Vivid Sulfur,271.0,4.8
7,,Nike Air Force 1 '07 Premium,Men's Shoes,1 Color,$140,$120.97,https://www.nike.com/t/air-force-1-07-premium-mens-shoes-jTLc6j/DX2304-400,"The radiance lives on with the Nike Air Force 1 ’07 Premium. Crossing hardwood comfort with off-court flair, this hoops original puts a fresh spin on what you know best: durable stitched overlays, clean finishes and the perfect amount of flash to make you shine.",Shown: Racer Blue/White/University Blue,2.0,5.0
8,Best Seller,Nike Air Max 90,Men's Shoes,4 Colors,$130,$123.97,https://www.nike.com/t/air-max-90-mens-shoes-6n3vKB/CN8490-100,"Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its OG running roots with the iconic Waffle sole, stitched overlays and classic TPU details. Classic colors celebrate your fresh look while Max Air cushioning adds comfort to the journey.",Iron Grey/Dark Smoke Grey/Black/White; Wolf Grey/Black/White/Black; Black/Black/Black/Black; White/White/Wolf Grey/White; Design your own Nike By You product,270.0,4.7
9,,Air Jordan 1 Mid SE,Men's Shoes,1 Color,$135,,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-bZLgb7/DM1200-016,"Stand out with timeless hoops style. Premium leather gets polished, shined and textured to deliver a fresh take on the shoe that started it all. Air cushioning and a classic design keep everything you love best from the original.",Shown: Black/White/Light Smoke Grey/University Red,139.0,4.9
10,Best Seller,Air Jordan 1 Retro High OG,Shoes,1 Color,$180,,https://www.nike.com/t/air-jordan-1-retro-high-og-shoes-fZMprq/555088-161,"Familiar but always fresh, the iconic Air Jordan 1 is remastered for today's sneakerhead culture. This Retro High OG version goes all in with premium leather, comfortable cushioning and classic design details.",Shown: White/Black/University Red,1358.0,4.9
11,Best Seller,Nike Air Force 1 Shadow,Women's Shoes,13 Colors,$130,,https://www.nike.com/t/air-force-1-shadow-womens-shoes-kTgn9J/CI0919-120,"The Nike Air Force 1 Shadow puts a playful twist on a classic b-ball design. Using a layered approach, doubling the branding and exaggerating the midsole, it highlights AF-1 DNA with a bold, new look.",Shimmer/Sanddrift/Pearl White/Mars Stone; Sail/Classic Green/University Blue/Multi-Color; White/Peach Cream/Light Liquid Lime/White; White/Racer Blue/Atomic Green/Black; Cashmere/Orange Chalk/Lobster/Cashmere; Sail/Hydrogen Blue/Bright Citron/Doll; Sail/Sesame/Black/Multi-Color; Summit White/Yellow Ochre/Lapis/Neptune Green; White/White/White; Rush Orange/Guava Ice/White/Black; Light Soft Pink/Pink Oxford/Lemon Wash/Light Thistle; White/Pure Platinum/Blackened Blue/Metallic Silver; Photon Dust/Black/University Blue/Malachite,481.0,4.8
12,,"LeBron XX ""Purple and Gold""",Basketball Shoes,3 Colors,$200,,https://www.nike.com/t/lebron-xx-purple-and-gold-basketball-shoes-ct1qVm/DJ5423-500,"Serving up electrifying colors that pulse like a California sunset, the LeBron 20 takes you courtside with a look that pays tribute to the team you love. Purple Pulse and Violet Frost deliver a vibrant backdrop for game-winning Metallic Gold accents while graphics on the midsole let you settle into the LA vibe—powerful, royal and ahead of its time. Taking you into the future, the light, low-to-the-ground and ultra-cushioned design sets you up to stay on top of today’s frenzied style of play and make your mark on the next era of hoops.",Black/University Red/University Gold/Black; Violet Frost/Purple Pulse/Canyon Purple/Metallic Gold; Barely Green/Medium Soft Pink/Light Bone/Multi-Color,7.0,4.4
13,Best Seller,Air Jordan 1 Low,Men's Shoes,1 Color,$110,,https://www.nike.com/t/air-jordan-1-low-mens-shoes-9xSzrW/553558-063,"Inspired by the original that debuted in 1985, the Air Jordan 1 Low offers a clean, classic look that's familiar yet always fresh. With an iconic design that pairs perfectly with any 'fit, these kicks ensure you'll always be on point.",Shown: Black/White/Fire Red,821.0,4.8
14,Best Seller,Nike Air Force 1 '07 LV8,Men's Shoes,3 Colors,$130,,https://www.nike.com/t/air-force-1-07-lv8-mens-shoes-NCHHsv/DQ7658-101,"Celebrating 40 years of pushing sport and fashion boundaries, this commemorative AF1 mixes elements from beloved launches to highlight the timeless design’s place in sneaker history. Gold accents, a debossed *40* on the heel and an honorary tongue label are just a few of the embellishments inviting you to the party. Completing the look, crisp leather in bold colors delivers a grand finale. Happy anniversary!",White/White/Black; Sail/White/Metallic Gold/Malachite; Malachite/Sail/White/Blue Jay,7.0,5.0
15,,Nike Dunk High 1985,Shoes,1 Color,$140,,https://www.nike.com/t/dunk-high-1985-shoes-rsx4JL/DV1143-800,"Celebrate heritage with an updated version of the Dunk High, recrafted to reflect the original from 1985. Matching the shape, look and feel that started it all, it delivers true vintage style while keeping the familiar comfort you love.",Shown: Arctic Orange/Summit White/Orange Blaze/Arctic Orange,6.0,3.0
16,,Nike Go FlyEase,Easy On/Off Shoes,4 Colors,$120,$96.97,https://www.nike.com/t/go-flyease-easy-on-off-shoes-6nd2cc/CW5883-003,"Just when you thought you'd seen it all, Nike wows with an all-new way to quickly and easily get into your shoes. Great for people with limited mobility seeking ease of entry, or anyone wanting a quicker way to get in and go! The entire heel (including the sole) of the Nike Go FlyEase pivots open for a totally hands-free entry.",Pink Gaze/Hyper Pink/White/Black; Light Army/Black/Summit White; Court Blue/Dutch Blue/White; Black/Anthracite/Elemental Gold/White,23.0,3.6
17,,Nike Benassi JDI,Men's Slides,4 Colors,$25,$23.97,https://www.nike.com/t/benassi-jdi-mens-slides-JMOEGm/343880-090,"Slide into comfort in the lightweight and sporty Nike Benassi JDI Slide. It features the Nike logo on the foot strap, which is lined in super soft fabric. The foam midsole brings that beach feeling to your feet and adds spring to your kicked-back style.",White/Black/Black; Black/Metallic Gold; Black/White; Black/Black/Black,901.0,4.5
18,Best Seller,Nike Waffle Debut,Women's Shoes,6 Colors,$75,,https://www.nike.com/t/waffle-debut-womens-shoes-5Rl1KL/DH9523-100,"Retro gets modernized with these sleek sneaks inspired by the Nike Daybreak. Era-echoing suede and nylon are paired in complementary colors, and the updated wedge midsole gives you an extra lift. Style, comfort, iconic Waffle outsole—this is a perfect new addition to your daily rotation.",White/Team Orange/Rattan/Sail; Football Grey/Phantom/Orange/Light Madder Root; Black/Orange/Clear/White; Sanddrift/Phantom/White/Black; White/Black/Orange/White; Gym Red/Sail/Black/Gym Red,65.0,4.8
19,Best Seller,Nike Air Force 1 '07,Men's Shoes,2 Colors,$110,,https://www.nike.com/t/air-force-1-07-mens-shoes-5xqQ6q/DJ2739-100,"The radiance lives on in the Nike Air Force 1 ’07, the b-ball OG that puts a fresh spin on what you know best: crisp leather, clean colorways and the perfect amount of flash to make you shine. This clean, pure white finish adds the gum sole contrast for a fresh, versatile look with just the right amount of pop.",Black/Gum Light Brown/Black; White/Gum Light Brown/White,82.0,4.7
